TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_taxon_status,TC_is_in_taiwan
33acf3ab-99be-4fe9-aa6d-c4d45853c9c7,order,Animalia,t0003078,Protura,order,Animalia,accepted,TRUE
9c74699b-da06-488b-9380-e4763e179df8,order,Animalia,t0002041,Pantopoda,order,Animalia,accepted,TRUE
665269a1-00e5-404f-8391-ce90877aaea1,order,Animalia,t0003047,Cladocera,order,Animalia,accepted,TRUE
fae289e9-7bcd-4975-9b60-a4047ca1aa0d,order,Animalia,t0001686,Anostraca,order,Animalia,accepted,TRUE
e58e1965-de0b-48d7-84c3-eaccd281352e,order,Animalia,t0001829,Diplostraca,order,Animalia,accepted,TRUE
2b14ab77-deba-41bf-9c76-20c32982f3ac,order,Animalia,t0002088,Polydesmida,order,Animalia,accepted,TRUE
ff8b9397-edce-40ac-9135-1d7c65493571,order,Animalia,t0001921,Julida,order,Animalia,accepted,TRUE
83eb55be-562e-42ac-ae5f-22068d76c2ac,order,Animalia,t0002074,Platydesmida,order,Animalia,accepted,TRUE
c24501ca-b0eb-45c2-9022-8474fd5dca67,order,Animalia,t0001769,Chordeumatida,order,Animalia,accepted,TRUE
21a8c097-4e21-4eef-83c1-e0a92715d53c,order,Animalia,t0002095,Polyxenida,order,Animalia,accepted,TRUE
ca7ae2b2-9bbf-4bcf-aa24-3131bda4986f,order,Animalia,t0002173,Spirostreptida,order,Animalia,accepted,TRUE
5e0395c9-bc69-4027-b313-60264a64d223,order,Animalia,t0002096,Polyzoniida,order,Animalia,accepted,TRUE
81a6e7a5-5199-4fb9-b2ce-02ee2b6f0128,order,Animalia,t0001874,Glomerida,order,Animalia,accepted,TRUE
ad9108c4-0b18-494f-80fa-de62bbb6c301,order,Animalia,t0002171,Spirobolida,order,Animalia,accepted,TRUE
07051ad1-22aa-4acc-9182-b2363b9dfbcb,order,Animalia,t0001872,Geophilomorpha,order,Animalia,accepted,TRUE
6c212a90-07ef-4aec-b0b5-4792e1475d74,order,Animalia,t0001950,Lithobiomorpha,order,Animalia,accepted,TRUE
b02423e1-de30-4ba1-8dad-47777db43cfc,order,Animalia,t0002137,Scolopendromorpha,order,Animalia,accepted,TRUE
a47bcb7d-034d-4dc6-bc1d-f30b76be709e,order,Animalia,t0002140,Scutigeromorpha,order,Animalia,accepted,TRUE
7c68065f-3e31-4fb3-87a6-dff900c5a238,order,Animalia,t0003097,Xiphosurida,order,Animalia,accepted,TRUE
88d260ab-ad79-47cf-a165-5b287bb99285,order,Animalia,t0002204,Tetraodontiformes,order,Animalia,accepted,TRUE
7867f6a3-723e-4879-9210-ebb5a28a81e9,order,Animalia,t0003084,Scorpaeniformes,order,Animalia,accepted,FALSE
e316da58-ccfa-4ab0-8b37-a4739db5769d,order,Animalia,t0001719,Beloniformes,order,Animalia,accepted,TRUE
6fbceccf-5e43-40b5-9f32-718bff3861f9,order,Animalia,t0002052,Perciformes,order,Animalia,accepted,TRUE
1386a014-3ff0-498e-a100-8cbaad400b76,order,Animalia,t0002026,Ophidiiformes,order,Animalia,accepted,TRUE
7effdb0d-fab6-41e6-b73f-3b91446a6914,order,Animalia,t0001804,Cypriniformes,order,Animalia,accepted,TRUE
4f6f151c-96e5-4d15-bca5-2cfd6e588c82,order,Animalia,t0002079,Pleuronectiformes,order,Animalia,accepted,FALSE
0bd3c195-0a4f-4493-9cee-dffe205f7aab,order,Animalia,t0001670,Albuliformes,order,Animalia,accepted,TRUE
3fd9785b-ce8b-486a-84d4-74f676735fbe,order,Animalia,t0001714,Aulopiformes,order,Animalia,accepted,TRUE
81708a9a-b527-4c35-9185-0c41760a77b7,order,Animalia,t0001701,Argentiniformes,order,Animalia,accepted,TRUE
4f542595-0b0f-4b1a-95a3-12a106f48672,order,Animalia,t0001777,Clupeiformes,order,Animalia,accepted,TRUE
3d1c2cfe-7f8a-4266-983d-bcaa1498f844,order,Animalia,t0001684,Anguilliformes,order,Animalia,accepted,TRUE
3d965725-69bd-4814-87a4-f38974042359,order,Animalia,t0001722,Beryciformes,order,Animalia,accepted,TRUE
a53b10ac-09b3-404d-8f72-6cb7542f4c80,order,Animalia,t0001957,Lophiiformes,order,Animalia,accepted,TRUE
8b37ff05-422c-4f41-ac25-6cf80b4c9d27,order,Animalia,t0001864,Gadiformes,order,Animalia,accepted,TRUE
2acef9af-41e3-4c23-99cb-797e43ddb55c,order,Animalia,t0003090,Stomiiformes,order,Animalia,accepted,TRUE
2820bce1-efb1-42e8-b19b-b79b4e3eec27,order,Animalia,t0002148,Siluriformes,order,Animalia,accepted,TRUE
1efc43ed-81ba-4093-b171-df0ae1397ce5,order,Animalia,t0001711,Ateleopodiformes,order,Animalia,accepted,TRUE
d47535d1-1885-44fc-b023-e785b6b4fcae,order,Animalia,t0001712,Atheriniformes,order,Animalia,accepted,TRUE
df9001fb-71cd-492a-b43c-878a9146074c,order,Animalia,t0003089,Stephanoberyciformes,order,Animalia,accepted,FALSE
7de3cffe-aaec-42c7-aeae-e0c35fc17ef3,order,Animalia,t0001996,Myctophiformes,order,Animalia,accepted,TRUE
fa79c8d6-7a01-44ee-adcf-a6af4ad759a1,order,Animalia,t0001879,Gonorynchiformes,order,Animalia,accepted,TRUE
fb18e931-30ff-48b2-80c8-05384957f118,order,Animalia,t0001991,Mugiliformes,order,Animalia,accepted,TRUE
3d236b8b-fc66-49ab-886e-55b2888b06d7,order,Animalia,t0002240,Zeiformes,order,Animalia,accepted,TRUE
10fc94a8-2b6c-4a2f-994f-2f5dff9d4a74,order,Animalia,t0001841,Elopiformes,order,Animalia,accepted,TRUE
db627722-5fe7-4c21-b33b-32188dcc5477,order,Animalia,t0003081,Saccopharyngiformes,order,Animalia,accepted,FALSE
c986bc8c-cd41-4570-b8a8-b838889a7d08,order,Animalia,t0001805,Cyprinodontiformes,order,Animalia,accepted,TRUE
86751d7d-a407-4d98-a75a-1d7a3018924c,order,Animalia,t0002193,Synbranchiformes,order,Animalia,accepted,TRUE
fbe0bc25-caa3-4e20-9c9a-d30007e4a3bc,order,Animalia,t0002129,Salmoniformes,order,Animalia,accepted,TRUE
eb60446d-11ac-4d51-9dfc-5ae506d27a55,order,Animalia,t0002089,Polymixiiformes,order,Animalia,accepted,TRUE
548a7e8d-b6ea-4b16-90bf-9e658491d0fb,order,Animalia,t0002034,Osmeriformes,order,Animalia,accepted,TRUE
18d524d4-ac32-4db7-b59f-e008efb3b52a,order,Animalia,t0002043,Passeriformes,order,Animalia,accepted,TRUE
a9340ffd-d40d-455e-8f17-d407dcffbddf,order,Animalia,t0001660,Accipitriformes,order,Animalia,accepted,TRUE
e0d01b6d-a904-40d2-84b6-bb20270250b5,order,Animalia,t0001761,Charadriiformes,order,Animalia,accepted,TRUE
45842130-f166-468d-b111-87b07e21c98c,order,Animalia,t0002108,Psittaciformes,order,Animalia,accepted,TRUE
185b09ee-3190-4f09-a217-ec92b9cb5d63,order,Animalia,t0001687,Anseriformes,order,Animalia,accepted,TRUE
175c2184-8e16-4998-a774-e5b996c60968,order,Animalia,t0001881,Gruiformes,order,Animalia,accepted,TRUE
