TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,hit_index,taicol_taxon_id,taicol_status
8b43dfc2-5105-4b46-8787-54967af187f1,superdomain,"","",Cellular Organisms,,,
c81c2d9d-6ab5-461f-ba33-48c46fd7a98f,domain,"","",Bacteria,1,t0000005,accepted
205b1246-d120-41f3-a07d-d26ca09f3a56,domain,"","",Archaea,1,t0000004,accepted
329c5b3e-0af3-4e8b-917f-e62e6d4aea27,domain,"","",Eukaryota,1,t0000001,accepted
3ecc15e1-356d-430c-8f26-83196453a7de,order,Animalia,"",Lepadiformes,1,t0001934,not-accepted
c1ca5281-fbc2-4a86-b9ca-b7174c013b56,order,Animalia,"",Ibliformes,1,t0001914,not-accepted
df9001fb-71cd-492a-b43c-878a9146074c,order,Animalia,"",Stephanoberyciformes,1,[],
db627722-5fe7-4c21-b33b-32188dcc5477,order,Animalia,"",Saccopharyngiformes,1,[],
85381012-88ce-4d66-abaa-68c189d64877,order,Animalia,"",Bdelloidea,1,t0001655,accepted
181a0f3e-96eb-4f0e-8d0a-e3d83d74c5ff,order,Animalia,"",Chordodidae,1,t0005620,accepted
8134a025-b377-4d41-8da0-0f8c2448a247,family,Animalia,"",Halonoproctidae	,1,t0006090,accepted
9692b028-8e29-476b-a5b2-37e24474b2fa,family,Animalia,"",Caracanthidae,1,[],
95215eb9-7328-4aac-8d9e-ab38f6b496d2,family,Animalia,"",Ereuniidae,1,t0005928,not-accepted
c88f6db5-38e5-4d71-8840-9560272e1dc4,family,Animalia,"",Diplophidae,1,t0005832,not-accepted
38202de0-af13-4a46-a50e-3c226e9fd48f,family,Animalia,"",Ziphiidae,1,t0004997,not-accepted
9e136f9a-4948-4d37-b12b-36ac4bd2a77d,family,Animalia,"",Euphyllidae,,,
b6fddb91-e510-4307-979a-3cbc73d6a880,family,Animalia,"",Faviidae,,,
9cb8e815-1653-431c-9a6f-88f548d511c6,family,Animalia,"",Agathiphylliidae,,,
4974f1b1-8c76-4da0-804e-76cb52d62f28,family,Animalia,"",Pectiniidae,,,
218a5001-5995-45ce-9e2a-29c021ee5ec8,family,Animalia,"",Roeslerstammida,,,
0375650e-5b02-4ed6-857a-6f62e155856c,kingdom,Crenarchaeota,"",Crenarchaeota,1,t0000038,not-accepted
8739248e-2a6c-4498-a6dc-ec129ddf4ddd,kingdom,Euryarchaeota,"",Euryarchaeota,1,t0000044,accepted
45a03696-6726-406a-9094-cd87fabe502d,kingdom,Euglenoida,"",Euglenoida,1,t0000136,accepted
ccd11454-a14f-4ba4-81d9-b135e1ff7ba7,kingdom,Postgaardia,"",Postgaardia,,,
d08f6498-abca-4c04-893e-a6e7856d6199,kingdom,Glycomonada,"",Glycomonada,,,
810e6be0-e193-4619-b10a-8bd2ac034923,kingdom,Percolozoa,"",Percolozoa,1,t0000073,accepted
9e5a3739-cd0f-48a2-9153-a26de92d6f51,kingdom,Tsukubamonadea,"",Tsukubamonadea,,,
05768301-6b69-4454-a60e-c72aa942e181,kingdom,Jakobea,"",Jakobea,1,t0000299,accepted
64876e3f-78ad-4cd2-97b9-ec49a9243591,kingdom,Trichozoa,"",Trichozoa,,,
e9576fc5-03ff-41f3-abb6-c2376c18dd51,kingdom,Harosa,"",Harosa,1,t0000016,accepted
96754173-537c-4192-ad37-2b6b0b330541,kingdom,Haptista,"",Haptista,,,
b97f04e6-e040-43c4-a957-4c1d09c2094f,kingdom,Cryptista,"",Cryptista,1,t0000078,accepted
c8f3b6cb-313b-4468-bb84-48c3fd8820b3,kingdom,Anaeromonada,"",Anaeromonada,,,
51fc97cb-6f6d-4720-b109-7ee56f83ffa8,kingdom,Neolouka,"",Neolouka,1,t0000138,accepted
ac0aa1ee-ddab-47cf-9d12-98ab90b07dff,kingdom,Podiata,"",Podiata,,,
eb510f8d-b32e-45ab-80b9-32f69c9bed85,kingdom,Picobiliphyta,"",Picobiliphyta,,,
4b5dfd8d-fa42-4035-af1b-5babdcfa3520,kingdom,Telonemia,"",Telonemia,,,
65416715-6e97-48a4-a0e0-5aff900272ee,kingdom,Hemimastigophora,"",Hemimastigophora,,,
84d66a1e-e183-4a24-9764-62ad5c87ee24,superphylum,Plantae,"",Chlorophytes,,,
0ea931ec-3d72-4ea9-9848-f42a1f973bef,superphylum,Plantae,"",Streptophyta,1,t0000021,accepted
8973cf04-1c50-4e7f-9536-08fbdf4d101e,phylum,Plantae,"",Embryophyta,1,t0000029,accepted
a058395d-ef45-4ba9-8944-e5796de70d58,subphylum,Plantae,"",Tracheophytina,,,
66d71e3a-fdee-41c1-9d86-1eaed0814d8a,superclass,Plantae,"",Lycophytes,,,
4660d8c7-a841-4c28-924a-873b42df4c96,superclass,Plantae,"",Euphyllophytes,,,
98b9a434-cbbf-4a74-9806-c0213bb4174b,class,Plantae,"",Isoetopsida,,,
1d77bcab-859b-482c-bf8e-054c4e432060,class,Plantae,"",Equisetopsida,,,
da05bb3c-78cd-40ab-9742-701cb694f50d,class,Plantae,"",Psilotopsida,,,
734b9beb-f241-4b6b-b450-778beee26c52,class,Plantae,"",Marattiopsida,,,
08da3c0e-e153-4090-b3d7-e3cfaf74bbcb,class,Plantae,"",Spermatopsida,,,
84909b46-ad27-4df3-8a4a-f8892cba0249,subclass,Plantae,"",Lycopodiidae,1,[],
d71da4b4-6d1d-4c3f-b28b-3f2f6e7eb039,subclass,Plantae,"",Isoetidae,1,[],
d419e737-9e98-443d-877f-f3d5e09b9cf3,subclass,Plantae,"",Psilotidae,1,t0000562,not-accepted
9f55a90a-7528-4b3a-94f0-e07a34fec72d,subclass,Plantae,"",Ginkgoidae,,,
450e1089-93fd-41ad-8627-8024da76405e,subclass,Plantae,"",Gnetidae,1,t0000567,accepted
b65e5700-b03e-404b-a8ca-baddd53067d2,order,Plantae,"",Welwitschiales,1,t0002278,accepted
d4538179-8c94-463b-9738-58a22848edf1,order,Plantae,"",Gnetales,1,t0000785,accepted
310e40e5-c407-40b5-9a2b-8dbeeac7d393,order,Plantae,"",Ephedrales,1,t0002279,accepted
e27fd325-f7c5-480f-8c01-63107b0ac9e7,order,Plantae,"",Canellales,1,t0000790,accepted
e9f4a72d-5067-4ce0-a3bd-3e6055fa1fdf,order,Plantae,"",Gunnerales,1,t0000811,accepted
35d0e9bd-3770-45f6-af67-f91c9a7a88ff,order,Plantae,"",Picramniales,1,t0000826,accepted
520cf167-010a-4996-b3c6-eea79bd2c347,order,Plantae,"",Berberidopsidales,1,t0000831,accepted
ecec58f7-2493-406c-bd68-a55d7d85221f,order,Plantae,"",Metteniusales,1,t0002283,accepted
f72678b2-17dd-4f44-9c78-1f2cf848a4c7,order,Plantae,"",Vahliales,1,t0002284,accepted
7de95bc3-65d0-49f5-8952-383737ee2ccc,order,Plantae,"",Escalloniales,1,t0000843,accepted
6d6b27e9-bc51-43e4-8721-3126b3dbe50b,order,Plantae,"",Bruniales,1,t0000844,accepted
ac707472-fd0b-4cd3-b126-1c83df54e512,order,Plantae,"",Paracryphiales,1,t0000845,accepted
02a78660-f20f-4920-9dfb-f54b02f721d5,family,Plantae,"",Matoniaceae,1,[],
d41085b4-8139-4c49-9e4d-44dd76ab0dc8,family,Plantae,"",Anemiaceae,1,[],
e2fb81ab-1d50-4391-b385-f5d4e5f33000,family,Plantae,"",Thyrsopteridaceae,1,[],
efced2d2-2d46-4ad0-9b6e-c68e93f32690,family,Plantae,"",Loxsomataceae,1,[],
b4b98498-3c09-4220-82b0-9635fa02c111,family,Plantae,"",Culcitaceae,1,[],
2f650ff5-45ce-4b30-8d74-3ed84192fa56,family,Plantae,"",Dicksoniaceae,1,[],
e8a4c204-9004-4a54-9ef1-a9a9bef6d939,family,Plantae,"",Metaxyaceae,1,[],
b8f55998-81db-48f0-9d2d-35cc175d80f0,family,Plantae,"",Lonchitidaceae,1,[],
0c8449f4-3a84-4471-8715-cc7478d5ad9f,family,Plantae,"",Saccolomataceae,1,[],
8f02a41a-bd3e-4410-a954-e6aae8a22cdd,family,Plantae,"",Cystodiaceae,1,[],
9f17acad-5f6b-4eaf-bb23-ed3fbb15bec5,family,Plantae,"",Welwitschiaceae,,,
4c160bcf-daed-47f3-9c52-1d08fb0c115f,family,Plantae,"",Gnetaceae,,,
a397ba47-c0ba-4732-911f-2cf58b7ba5db,family,Plantae,"",Ephedraceae,,,
6199d3d6-a020-4a2a-973c-fa03bdd7689c,family,Plantae,"",Sciadopityaceae,,,
d8d07304-9933-4bca-a808-6edf44abf90c,family,Plantae,"",Hydatellaceae,,,
99041f0b-79b1-4ba6-84f3-46b29cc31dd3,family,Plantae,"",Austrobaileyaceae,,,
8abd9b69-4dec-41ae-b09a-7e4a67b38b9b,family,Plantae,"",Trimeniaceae,,,
a9654c79-e898-4911-a36e-df64ed4fd489,family,Plantae,"",Canellaceae,,,
6ef55651-81e3-44e9-a429-ef5a52a8b7b4,family,Plantae,"",Winteraceae,,,
bb44dd13-4329-4ae5-b59a-8c753da720c4,family,Plantae,"",Degeneriaceae,,,
d3d0bf01-ec00-4fed-8422-0d5583d981b7,family,Plantae,"",Himantandraceae,,,
ed7397d3-3814-4302-9047-8afbd58756d7,family,Plantae,"",Eupomatiaceae,,,
07cee870-724b-4612-876d-df1610a98c79,family,Plantae,"",Siparunaceae,,,
87f0b3ec-44f1-44ae-b35b-6dc2da6c93d9,family,Plantae,"",Gomortegaceae,,,
0f078ba1-ac15-4a4c-b31b-bd088c76503f,family,Plantae,"",Atherospermataceae,,,
629fc867-2a31-4b79-a6c6-16555125ff30,family,Plantae,"",Monimiaceae,,,
f0121175-fa2e-458e-81ff-d9072e04ab3b,family,Plantae,"",Tofieldiaceae,,,
8b1caab8-96e4-4d29-915f-74ca8af35402,family,Plantae,"",Butomaceae,,,
be23f68f-4bde-47c0-a7fb-8f8fd3096345,family,Plantae,"",Scheuchzeriaceae,,,
5e36706b-6ea0-45c3-98ef-0c66268f3b4b,family,Plantae,"",Maundiaceae,,,
88108125-021a-4937-a52b-2f9bb3835082,family,Plantae,"",Posidoniaceae,,,
dc2848e6-48dd-47c5-a543-0e5325c6cf8a,family,Plantae,"",Taccaceae,1,t0002323,not-accepted
1457e565-bb3a-49e4-ba47-b585888c1f87,family,Plantae,"",Velloziaceae,,,
eeeb14dc-1c05-4038-8705-2ecc91b50156,family,Plantae,"",Campynemataceae,,,
259014cc-1da6-49c4-80e5-ebb1636a9771,family,Plantae,"",Corsiaceae,,,
7502ad56-1baf-45e8-ae86-204bc9f83725,family,Plantae,"",Petermanniaceae,,,
c766b53d-24f6-4c6c-a138-a051b5f11372,family,Plantae,"",Philesiaceae,,,
6895f2ee-03ff-4093-bf19-3df3725fbdc1,family,Plantae,"",Rhipogonaceae,,,
03875bc0-8db8-4050-aff3-b196be085183,family,Plantae,"",Boryaceae,,,
bf1aa64f-84d5-4431-9915-ffff8c56e6a8,family,Plantae,"",Blandfordiaceae,,,
c643d108-c1a4-4594-9bfb-23a2aed8640f,family,Plantae,"",Asteliaceae,,,
53eaaa58-1e1d-45e5-aa5b-e3742af1b466,family,Plantae,"",Lanariaceae,,,
c9ea3ff9-c1be-4309-aa64-c1935ad22461,family,Plantae,"",Doryanthaceae,,,
131e819f-65de-4cb6-8567-1ef6db77509b,family,Plantae,"",Ixioliriaceae,,,
ddae65a7-6bb6-4452-ba70-7e7b0a000240,family,Plantae,"",Tecophilaeaceae,,,
a2a821c2-fe43-49ca-9bcf-bcbac62ea0a2,family,Plantae,"",Xeronemataceae,,,
e14db880-c978-4515-8534-2bb74254633f,family,Plantae,"",Dasypogonaceae,,,
cc9136ac-3307-493c-84b0-ed26fe60f799,family,Plantae,"",Hanguanaceae,,,
63c6f139-8331-45c9-a8d1-a7f9768e9878,family,Plantae,"",Haemodoraceae,,,
11be93dc-ea35-4f93-bbf4-3b268337d4f4,family,Plantae,"",Lowiaceae,,,
1a4e060d-a350-4c9f-80c1-11079baf63bd,family,Plantae,"",Rapateaceae,,,
6eeaeb63-845f-4e81-bb3d-eba12b989a96,family,Plantae,"",Mayacaceae,,,
8e5f66a3-d5ee-40b9-b808-fc13844af03d,family,Plantae,"",Thurniaceae,,,
968285ab-f032-4613-bfed-d612f632b6ab,family,Plantae,"",Restionaceae,,,
02ceb79a-29ee-4f7f-a7bc-072a0d8ce766,family,Plantae,"",Joinvilleaceae,,,
c025146d-9c3c-4771-844c-4e55c1cb0fa5,family,Plantae,"",Ecdeiocoleaceae,,,
56b391ea-4a6c-46b4-b91f-ea146568b89d,family,Plantae,"",Eupteleaceae,,,
d487adb6-22a3-4ef2-bd91-69bae35386bd,family,Plantae,"",Circaeasteraceae,,,
eedc8a4c-c2d3-4c6a-bf06-f3400cc6d0ea,family,Plantae,"",Platanaceae,,,
1b13dfde-b961-4a76-a6c2-0bf825dc1122,family,Plantae,"",Myrothamnaceae,,,
73f6354f-5c01-43a4-b619-939a620d6dea,family,Plantae,"",Gunneraceae,,,
eff30265-8d09-4ce5-b290-c18cca1fc440,family,Plantae,"",Peridiscaceae,,,
be903842-5cfc-440b-b872-3afcb2445ec9,family,Plantae,"",Cercidiphyllaceae,,,
ef99b28b-56ca-47f2-a6f7-19051609d4d9,family,Plantae,"",Aphanopetalaceae,,,
c8015d19-f8a0-47ef-a118-6070ac1362e3,family,Plantae,"",Tetracarpaeaceae,,,
0abfb7ba-cd55-45e0-8df3-2b52795a7e0f,family,Plantae,"",Penthoraceae,,,
0042093a-ea40-406a-aee2-026f56bf984e,family,Plantae,"",Cynomoriaceae,,,
68a8defb-9e29-406b-bc33-3b73455f6bbf,family,Plantae,"",Krameriaceae,,,
828275a1-52ee-4b3d-a0a8-08181e6e700b,family,Plantae,"",Quillajaceae,,,
ad011a0c-083f-4a03-8d92-a23845dadba2,family,Plantae,"",Barbeyaceae,,,
7e4bed14-7d6a-4ae8-a1bb-87641e26186d,family,Plantae,"",Dirachmaceae,,,
3ca86c87-f867-4a1f-89ae-767e06a67f19,family,Plantae,"",Nothofagaceae,,,
7a087170-e2dd-492c-a58d-cfca23ef0af7,family,Plantae,"",Ticodendraceae,,,
207e141e-e0c2-4cdf-b4d9-5e50cb6ff957,family,Plantae,"",Apodanthaceae,,,
2496c7c5-945c-4739-a542-9b16be13a2a5,family,Plantae,"",Anisophylleaceae,,,
1097a3cd-a6c0-4c83-b68d-49897e64bc58,family,Plantae,"",Corynocarpaceae,,,
0406c35b-8943-4866-9b51-6168968c1be7,family,Plantae,"",Tetramelaceae,,,
123ab610-5b43-4e5e-a777-a44dd4233ba9,family,Plantae,"",Datiscaceae,,,
7c8ad4b5-11c8-48c7-ab93-6727b8939bda,family,Plantae,"",Lepidobotryaceae,,,
b1465eed-b30c-42c3-8c6c-b97103884e74,family,Plantae,"",Huaceae,,,
6d8208d8-c4fe-472b-a338-2f13d82c9447,family,Plantae,"",Cunoniaceae,,,
fbd6d77b-9e30-4d27-93e7-414421a77662,family,Plantae,"",Cephalotaceae,,,
f77441b2-e595-4224-bd9c-18e5c674ecce,family,Plantae,"",Brunelliaceae,,,
dcfbba1f-6d3e-4bbd-bdb6-f78439e37ca3,family,Plantae,"",Pandaceae,,,
1cc63b1e-8e4c-487c-b292-d01599c944b7,family,Plantae,"",Irvingiaceae,,,
01b66990-bb09-4d23-9181-fe8cfd2d1c6b,family,Plantae,"",Ctenolophonaceae,,,
5a3d4217-6533-43f2-ade5-3062e995b2b8,family,Plantae,"",Erythroxylaceae,,,
166c07bf-8297-48c0-ad15-2458ac926007,family,Plantae,"",Bonnetiaceae,,,
2fe0285b-bbb8-4de1-8d38-86825d1d4379,family,Plantae,"",Podostemaceae,,,
cee51b13-abce-411a-a8ba-feb039208339,family,Plantae,"",Caryocaraceae,,,
37568856-04b0-4f5c-9f93-1069ecee212b,family,Plantae,"",Lophopyxidaceae,,,
c6c47e6e-91c5-4bd0-8cbf-a79ffe0411cb,family,Plantae,"",Centroplacaceae,,,
63002326-6413-4ae5-83a6-13d9811cd175,family,Plantae,"",Balanopaceae,,,
05857eb2-43e7-41d3-aeb3-f01a9f131a25,family,Plantae,"",Trigoniaceae,1,t0003855,accepted
5f32dfd2-bedb-4693-9646-21a493f88b5b,family,Plantae,"",Dichapetalaceae,,,
18bd1d1b-d0ab-4309-bf5f-08f3a60dbd81,family,Plantae,"",Euphroniaceae,,,
00facceb-68cc-4a3c-bcfc-2bbab492f454,family,Plantae,"",Humiriaceae,,,
0508c3d0-73b5-4929-97b7-3d8012b603c7,family,Plantae,"",Goupiaceae,,,
30cb27e4-968e-4658-b936-1a57b5b60817,family,Plantae,"",Lacistemataceae,,,
edb7ffbb-8551-4777-80ce-1ba0108b2da4,family,Plantae,"",Peraceae,,,
a42d78d0-c5c2-4be4-9c4e-d984c5580630,family,Plantae,"",Rafflesiaceae,1,[],
4cd5fe88-12fb-4b67-8c2d-2c1fa59e9695,family,Plantae,"",Ixonanthaceae,,,
6370a0f5-bd53-4989-a256-7976512db0c4,family,Plantae,"",Picrodendraceae,,,
5af9d099-f7be-49aa-b897-de1dd82ac38f,family,Plantae,"",Francoaceae,,,
c333de6c-add1-4e34-8954-f03a1e3b8e48,family,Plantae,"",Vochysiaceae,,,
abe0ecb0-6337-4950-90ce-37a13b3b70c2,family,Plantae,"",Crypteroniaceae,,,
eae13773-dc88-4972-946f-8ba62db897c9,family,Plantae,"",Alzateaceae,,,
c7e18d2c-5c37-4346-a936-fc1eaf8e90fe,family,Plantae,"",Penaeaceae,,,
b9f86991-1a7e-4aad-9137-9026c188f1b5,family,Plantae,"",Aphloiaceae,,,
94f08d4a-b310-486d-846f-4565d1dd55bb,family,Plantae,"",Geissolomataceae,,,
9364e424-7059-4bf1-a11e-7f2a200fdada,family,Plantae,"",Strasburgeriaceae,,,
a19b0a10-4e01-4ff7-865c-e8ad23edfaa4,family,Plantae,"",Guamatelaceae,,,
4e7cf6bf-2831-4bcc-8fa8-32350a5bc0c0,family,Plantae,"",Crossosomataceae,,,
92304028-d038-4639-b466-42b1b2d34164,family,Plantae,"",Picramniaceae,,,
a1378ea5-f944-40bf-97a8-59cd6813cf18,family,Plantae,"",Gerrardinaceae,,,
850929d8-c3bb-41cb-b511-2d6e99fa8a7c,family,Plantae,"",Petenaeaceae,,,
2969ef4c-6683-4a9c-824e-07c557f614d9,family,Plantae,"",Tapisciaceae,,,
13a6f280-9564-4f07-ba8c-fa61080a0511,family,Plantae,"",Biebersteiniaceae,,,
595190b8-f058-45cc-9607-e660cfba3f2c,family,Plantae,"",Nitrariaceae,,,
aae07797-8291-4da7-9329-70a6695d6dd4,family,Plantae,"",Kirkiaceae,,,
3757fb18-6604-4e45-8051-06c794c8199c,family,Plantae,"",Cytinaceae,,,
6fb3f750-aeca-478a-9414-be0a7acc161e,family,Plantae,"",Neuradaceae,,,
4945b175-fc59-432e-b2fc-a6f0597e4b7e,family,Plantae,"",Sphaerosepalaceae,,,
6f5f4a69-3fdd-449c-864c-a6c157df457f,family,Plantae,"",Cistaceae,,,
d601cb3a-00fc-40ba-838b-8a2ba7a0bc23,family,Plantae,"",Sarcolaenaceae,,,
a07b2eb3-9862-4b97-9e9a-36180ac6ad36,family,Plantae,"",Dipterocarpaceae,1,[],
9f623852-b67e-4f0a-8b85-971217c23300,family,Plantae,"",Limnanthaceae,,,
114cd227-7e43-422f-b499-231762403695,family,Plantae,"",Setchellanthaceae,,,
656af9d8-e62f-4b33-aab9-b08c42912d1a,family,Plantae,"",Koeberliniaceae,,,
c0a05289-db8f-4bc7-9cda-45a42303927d,family,Plantae,"",Bataceae,,,
b9d70080-f50a-4e58-949e-47b2ec5dd4b5,family,Plantae,"",Salvadoraceae,,,
0e4eec14-bd31-40a8-8a75-dd4f4f4c78c5,family,Plantae,"",Emblingiaceae,,,
9e4cec44-1132-4c8d-8b28-23f92ded7661,family,Plantae,"",Tovariaceae,,,
4e6224f1-b6a3-48ba-ab10-c9de2c89b175,family,Plantae,"",Pentadiplandraceae,,,
d22b85f8-b096-45f9-be42-04a8f2b15533,family,Plantae,"",Gyrostemonaceae,,,
e8a512a2-df46-4ff7-86c7-8601a6cba718,family,Plantae,"",Aextoxicaceae,,,
01df1fc2-0f8f-4cb0-be15-2ccd95f17110,family,Plantae,"",Berberidopsidaceae,,,
c74b7ce4-f56f-4352-aee6-0f7f2f52b11e,family,Plantae,"",Misodendraceae,,,
d1b021bc-f16e-4e5b-a807-335230578789,family,Plantae,"",Frankeniaceae,,,
133a0acb-4dea-41ba-86a5-9df7745b4552,family,Plantae,"",Nepenthaceae,,,
b57b4a5b-1daa-4b74-b33d-e8715a0dd0c1,family,Plantae,"",Drosophyllaceae,,,
6f371a23-eef1-4962-9c54-85260fbfb16d,family,Plantae,"",Dioncophyllaceae,,,
6903d43e-cb48-49fe-83c0-86d18f0306be,family,Plantae,"",Ancistrocladaceae,,,
34fa66e5-9c05-4e4f-913f-d89ded49e0c8,family,Plantae,"",Rhabdodendraceae,,,
8cf7cfa7-842f-412c-9aaa-b5152276d12e,family,Plantae,"",Simmondsiaceae,,,
0180c356-0033-40bc-9b0b-239bbe9b554d,family,Plantae,"",Physenaceae,,,
f8c09cc3-b567-4cce-a3b1-96ba677a941e,family,Plantae,"",Asteropeiaceae,,,
97821b50-1d54-4491-a12d-f01d378a459d,family,Plantae,"",Macarthuriaceae,,,
9e22497a-b4a1-49d4-98de-fbe8bc6312a5,family,Plantae,"",Microteaceae,,,
