taxonUUID,TF_tfNameCode,分類處理狀態,cattfNameCode,taxonRank,nativeness,TF_scientificName,simplifiedScientificName,TF_speciesKey
04f5f6aa-4a7b-441d-99f2-f7ac7ad6a699,C303120303050402050536004000300001000,accepted name 接受名,,species,原生 Native,Ceriops tagal (Perr.) C.B.Rob.,Ceriops tagal,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Malpighiales-Rhizophoraceae-Ceriops-tagal
2f44dcbc-93a2-4f4f-b942-0ce904bd909b,C303120303050402050542007000600002000,accepted name 接受名,,species,原生 Native,Glycosmis parviflora (Sims) Little,Glycosmis parviflora,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Sapindales-Rutaceae-Glycosmis-parviflora
3ec9ac4f-c8da-47eb-ac38-2737d0bab423,C303120303050402050542007001200002000,accepted name 接受名,,species,原生 Native,Tetradium ruticarpum (A.Juss.) T.G.Hartley,Tetradium ruticarpum,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Sapindales-Rutaceae-Tetradium-ruticarpum
46b10cce-e0ed-4124-960e-b0985f54e108,C303120303050402050534002000200008000,accepted name 接受名,,species,原生 Native,Euonymus pallidifolius Hayata,Euonymus pallidifolius,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Celastrales-Celastraceae-Euonymus-pallidifolius
71816b32-e006-4e5b-b0b9-d764d44d854b,C303120303050402050536004000100001000,accepted name 接受名,,species,原生 Native,Bruguiera gymnorhiza (L.) Lam. ex Savigny,Bruguiera gymnorhiza,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Malpighiales-Rhizophoraceae-Bruguiera-gymnorhiza
82a4a5d9-bcbe-49e3-b379-5d613c39c723,C303120303050402050553005006100001000,accepted name 接受名,,species,栽培 Cultivated (non-native),Pachypodium geayi Costantin & Bois,Pachypodium geayi,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Gentianales-Apocynaceae-Pachypodium-geayi
de69ab47-8e12-4501-b79b-a2a9db375e83,C303120303050402050536004000400001000,accepted name 接受名,,species,原生 Native,"Kandelia obovata Sheue, H.Y.Liu & J.W.H.Yong",Kandelia obovata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Malpighiales-Rhizophoraceae-Kandelia-obovata
ede8a7cf-7ea6-4541-9565-eb55a1829c53,C303120303050402050531001002800029000,unresolved name 未決學名,,species,原生 Native,Rubus rolfei S.Vidal,Rubus rolfei,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Rosales-Rosaceae-Rubus-rolfei
cabb1820-75f4-4241-bb4f-7ef45c880d8c,C303120303050402050519014010400003000,accepted name 接受名,,species,原生 Native,Phragmites karka (Retz.) Trin. ex Steud.,Phragmites karka,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Poales-Poaceae-Phragmites-karka
0d28ef52-53b5-4dc3-b1b2-cd5053ebcd9f,C303120303050402050538006001200001002,accepted name 接受名,,infraspecies,原生 Native,Sarcopyramis napalensis var. bodinieri (H.Lév.) H.Lév.,Sarcopyramis napalensis bodinieri,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Myrtales-Melastomataceae-Sarcopyramis-napalensis-bodinieri
4d3f6587-8fba-47b6-8136-92cc56caedef,C303120303050402050556002000700002001,unresolved name 未決學名,,infraspecies,栽培 Cultivated (non-native),Capsicum frutescens var. frutescens,Capsicum frutescens frutescens,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Solanales-Solanaceae-Capsicum-frutescens-frutescens
6fddacad-e669-486a-94fb-0daf0526bfe1,C303120303050402050519002000100013002,unresolved name 未決學名,,infraspecies,栽培 Cultivated (non-native),Aechmea ×hybrida 'Array',Aechmea ×hybrida Array,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Poales-Bromeliaceae-Aechmea-×hybrida-Array
a9e13ce9-363c-42ef-ab82-7c9aa7abf274,C303120303050402050564007000800001002,accepted name 接受名,,infraspecies,原生 Native,Angelica dahurica var. formosana (H.Boissieu) K.Y.Yen,Angelica dahurica formosana,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Apiales-Apiaceae-Angelica-dahurica-formosana
456175ec-631c-4195-b4d5-5f9384c273bb,C303120303050205040712008000500001000,unresolved name 未決學名,,species,原生 Native,Rhytidiadelphus triquetrus (Hedw.) Warnst.,Rhytidiadelphus triquetrus,Plantae-Viridiplantae-Streptophyta-Embryophyta-Bryophytina-Bryophytes*-Bryopsida-Bryidae-Hypnales-Hylocomiaceae-Rhytidiadelphus-triquetrus
8cbedceb-2a45-4ccb-b004-c583ff077543,C303120303050402050515001005300018000,accepted name 接受名,,species,境外 Overseas,Gastrochilus japonicus (Makino) Schltr.,Gastrochilus japonicus,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Asparagales-Orchidaceae-Gastrochilus-japonicus
c38969ed-4cce-480e-bf2a-41ec65e9e9ce,C303120303050402050518007000700001000,accepted name 接受名,,species,栽培 Cultivated (non-native),Goeppertia picturata (K.Koch & Linden) Borchs. & S.Suárez,Goeppertia picturata,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Zingiberales-Marantaceae-Goeppertia-picturata
c215651f-6c29-44b8-9102-69ed92c2ebe2,C303120303050402060000000000000000000,accepted name 接受名,,class,境外 Overseas,Incertae classis,Incertae classis,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Incertae classis
026fd8bb-a260-43de-97d3-680429d190d2,C303120303050402060100000000000000000,accepted name 接受名,,subclass,境外 Overseas,Incertae subclassis,Incertae subclassis,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Incertae classis-Incertae subclassis
163f3ebc-9f05-428d-ae5d-8b9bf9617bf3,C303120303050402060101000000000000000,accepted name 接受名,,order,境外 Overseas,Incertae ordo,Incertae ordo,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Incertae classis-Incertae subclassis-Incertae ordo
10974039-213c-4e6b-ba31-59764a6899ab,C303120303050402060101001000000000000,accepted name 接受名,,family,境外 Overseas,Incertae familia,Incertae familia,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Incertae classis-Incertae subclassis-Incertae ordo-Incertae familia
10b255d2-d5ee-4692-b0d8-6ad2fcb41e7b,C303120303050402060101001000100000000,accepted name 接受名,,genus,境外 Overseas,Pecopteris,Pecopteris,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Incertae classis-Incertae subclassis-Incertae ordo-Incertae familia-Pecopteris
42eae697-6a84-4220-aae4-4600e1ce8b24,C303120303050402060101001000100001000,accepted name 接受名,,species,境外 Overseas,Pecopteris cyathea (Schloth.) Brongn.,Pecopteris cyathea,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Incertae classis-Incertae subclassis-Incertae ordo-Incertae familia-Pecopteris-cyathea
ea9b770d-9e78-42b2-b714-d48f18478e15,C303120303050402050541004000200000000,accepted name 接受名,,genus,原生 Native,Test,Test,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Huerteales-Dipentodontaceae-Test
